CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de Prat de la Riba,57,AUTOESCOLA L'ASFALT,activitat_econòmica,Activitats de les escoles de conducció i pilotatge,41.5492,2.09871,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Prat de la Riba, 57 Bxs 9a",Activitats de les escoles de conducció i pilotatge
,av. de Rafael Casanova,22,AUTOSPA,activitat_econòmica,Manteniment i reparació de vehicles de motor,41.5448,2.10956,,,,sabadellempresa.cat,HOSTAFRANCS,1,"av. de Rafael Casanova, 22 Bxs",Manteniment i reparació de vehicles de motor
,c. de Joaquín Costa,65,AUTOTALLER SOLA,activitat_econòmica,Manteniment i reparació de vehicles de motor,41.5508,2.10428,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Joaquín Costa, 65 Bxs",Manteniment i reparació de vehicles de motor
,c. de l' Estrella,110,AVAN,activitat_econòmica,Activitats de medicina especialitzada,41.5442,2.11035,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Estrella, 110 Bxs",Activitats de medicina especialitzada
,pl. del Mercat,1,AVIRAM FERMI P. 138-139 / 206-207,activitat_econòmica,Comerç al detall de carn i productes carnis en establiments especialitzats,41.5453,2.10045,,,,sabadellempresa.cat,EL CENTRE,1,"pl. del Mercat, 1 Bxs",Comerç al detall de carn i productes carnis en establiments especialitzats
,c. de Lacy,21,B. G. ADVOCATS ASSOCIATS,activitat_econòmica,Activitats jurídiques,41.542,2.10587,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Lacy, 21 Bxs 1a",Activitats jurídiques
,c. de Marià Fortuny,13,BALBOA,activitat_econòmica,Establiments de begudes,41.5442,2.10109,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Marià Fortuny, 13 Bxs",Establiments de begudes
,pl. de Catalunya,1,BANC SABADELL,activitat_econòmica,Serveis administratius combinats,41.5418,2.1196,,,,sabadellempresa.cat,EL CENTRE,1,"pl. de Catalunya, 1 Bxs",Serveis administratius combinats
,pl. de Catalunya,1,BANC SABADELL,activitat_econòmica,Agències de publicitat,41.5482,2.10716,,,,sabadellempresa.cat,EL CENTRE,1,"pl. de Catalunya, 1 6è",Agències de publicitat
,pl. del Mercat,1,BANC SABADELL - MERCAT CENTRAL,activitat_econòmica,Altres tipus de mediació monetària,41.5504,2.09566,,,,sabadellempresa.cat,EL CENTRE,1,"pl. del Mercat, 1 Bxs",Altres tipus de mediació monetària
,c. de Sant Josep,2,BAR ART ENEU,activitat_econòmica,Establiments de begudes,41.5468,2.09468,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Josep, 2 Bxs",Establiments de begudes
,c. de Sant Antoni Maria Claret,17,BAR CAFETERIA,activitat_econòmica,Establiments de begudes,41.547,2.09631,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Antoni Maria Claret, 17 Bxs 1a",Establiments de begudes
,c. de Sant Pau,33,BAR COMERCIAL 2,activitat_econòmica,Establiments de begudes,41.547,2.10327,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Pau, 33 Bxs",Establiments de begudes
,c. de la Indústria,2,BAR INDUSTRIA,activitat_econòmica,Establiments de begudes,41.5473,2.1055,,,,sabadellempresa.cat,EL CENTRE,1,"c. de la Indústria, 2 Bxs DR",Establiments de begudes
,c. d' Alfons Sala,147,BAR PISCIS,activitat_econòmica,Establiments de begudes,41.5448,2.10975,,,,sabadellempresa.cat,COVADONGA,1,"c. d' Alfons Sala, 147 Bxs 2a",Establiments de begudes
,c. d' Alfons Sala,149,BAR PITA,activitat_econòmica,Establiments de begudes,41.5442,2.11099,,,,sabadellempresa.cat,COVADONGA,1,"c. d' Alfons Sala, 149 Bxs 3a",Establiments de begudes
,c. de les Tres Creus,119,BAR RESTAURANT TRES CREUS,activitat_econòmica,Restaurants i establiments de menjars,41.5486,2.10882,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Tres Creus, 119 Bxs 5a",Restaurants i establiments de menjars
,c. de Vilarrúbias,48,BAR RESTAURANT VILARRUBIAS,activitat_econòmica,Restaurants i establiments de menjars,41.5497,2.09875,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Vilarrúbias, 48 Bxs",Restaurants i establiments de menjars
,c. de Ferran Casablancas,50,BARNA FLUID,activitat_econòmica,Comerç a l'engròs no especialitzat,41.5497,2.09875,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Ferran Casablancas, 50 Bxs",Comerç a l'engròs no especialitzat
,c. de la República,50,BASAR PERFECTE DE QIU,activitat_econòmica,Altres tipus de comerç al detall en establiments no especialitzats,41.5497,2.09875,,,,sabadellempresa.cat,EL CENTRE,1,"c. de la República, 50 Bxs",Altres tipus de comerç al detall en establiments no especialitzats
,Rambla,120,BAZAR EL REGALO,activitat_econòmica,Comerç al detall d'equips d'àudio i vídeo en establiments especialitzats,41.5473,2.1055,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 120 Bxs 2a",Comerç al detall d'equips d'àudio i vídeo en establiments especialitzats
