CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,GRUP,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,Carrer de Narcís Giralt,16,Mestres Centre d'Ortopèdia i Podologia,Salut - Medicina,Ortopèdia/Podologia,SALUT,41.5481,2.1065,,937264172,,WebSearch_2026,,1,Carrer de Narcís Giralt 16,
,c. del Sol,164,Tonema Logopèdia,Salut - Medicina,Salut,SALUT,41.5479,2.1038,,937275886,,WebSearch_2026,,1,c. del Sol 164,
,c. de Blasco de Garay,84,Centre Insight Psicologia,Salut - Medicina,Salut,SALUT,41.5450,2.1028,centreinsight.es,620039045,,WebSearch_2026,,1,c. de Blasco de Garay 84,
,Carretera de Terrassa,38,Sonreír Clínica Dental,Salut - Medicina,Salut,SALUT,41.5440,2.1090,sonreirclinicadental.com,936893291,,WebSearch_2026,,1,Carretera de Terrassa 38,
,c. de Pi i Margall,14,Clínica Nélida Grande,Salut - Medicina,Clínica estètica,SALUT,41.5547,2.1010,doctoragrande.com,937169525,,WebSearch_2026,,1,c. de Pi i Margall 14,
,c. de les Tres Creus,89,Farmàcia Dualfarma,Salut - Medicina,Farmàcia,SALUT,41.5486,2.10819,,937258185,,WebSearch_2026,,1,c. de les Tres Creus 89,
,c. de Gràcia,64,Podologia David Mosquera,Salut - Medicina,Podologia,Salut,41.5481,2.1067,,,,WebSearch_2026,,1,c. de Gràcia 64,
,c. de Torras i Bages,2A,Anna Paré Vidal Dietista Nutricionista,Salut - Medicina,Nutrició i Dietètica,Salut,41.5467,2.1096,,,,WebSearch_2026,,1,c. de Torras i Bages 2A,
,c. de Sant Pere,3,DietFlash Medical Sabadell,Salut - Medicina,Nutrició i Dietètica,Salut,41.5488,2.1083,,,,WebSearch_2026,,1,c. de Sant Pere 3,
,c. de Latorre,28,Vitaldent Sabadell,Salut - Medicina,Clínica Dental,Salut,41.5422,2.1122,,937155808,,WebSearch_2026,,1,c. de Latorre 28,
,c. de Calderón,63,Centre d'Osteopatia i Medicina de Sabadell,Salut - Medicina,physiotherapy,Sanitat,41.5457,2.10549,www.fisioterapiasabadell.com,937253610,Mo-Fr 09:00-14:00 16:00-20:30,WebSearch_2026,,1,c. de Calderón 63,
,Rambla,62,Psicologia Giner,Salut - Medicina,psychologist,Sanitat,41.5445,2.1098,psicologiaginer.es,931001877,Mo-Fr,WebSearch_2026,,1,Rambla 62,
,c. de les Valls,10,IOA Instituts Odontologics Sabadell,Salut - Medicina,dentist,Sanitat,41.5491,2.1078,ioa.es,,,WebSearch_2026,,1,c. de les Valls 10,
,rda. de Zamenhof,1,Vivantadental Sabadell,Salut - Medicina,dentist,Sanitat,41.5520,2.1062,vivantadental.es,,Mo-Fr 10:00-14:00 16:00-20:00,WebSearch_2026,,1,rda. de Zamenhof 1,
,La Rambla,213,OPTICA GUFFO,Salut - Òptica,Comerç,Òptica,41.540553,2.111945,,937267029,,qdq.com_2026,,1,La Rambla 213,
,Passeig de Manresa,24,MULTIÓPTICAS PORTA,Salut - Òptica,Comerç,Òptica,41.548706,2.108272,,937259364,,qdq.com_2026,,1,Passeig de Manresa 24,
,Carrer de l'Escola Industrial,13,OPTICA MARTIN,Salut - Òptica,Comerç,Òptica,41.547743,2.106533,,937259342,,qdq.com_2026,,1,Carrer de l'Escola Industrial 13,
,Carrer de Corominas,15,VISTA ÓPTICA,Salut - Òptica,Comerç,Òptica,41.547038,2.104435,http://www.vistaoptica.com,937273752,,qdq.com_2026,,1,Carrer de Corominas 15,
,Carrer de Sant Cugat,22,ÒPTICA SAMARANCH,Salut - Òptica,Comerç,Òptica,41.545659,2.105192,,937277014,,qdq.com_2026,,1,Carrer de Sant Cugat 22,
